,store_code_uc,year_week,y_counterfactual,y_predict,week_sales,region
0,184692,201401,334852.3001042793,334852.3001042793,375690.28,not affected by soda tax
1,184692,201402,337119.6117242868,337119.6117242868,381304.47,not affected by soda tax
2,184692,201403,327579.3047942682,327579.3047942682,341109.59,not affected by soda tax
3,184692,201404,326195.3804642786,326195.3804642786,330701.72,not affected by soda tax
4,184692,201405,323514.1717442785,323514.1717442785,316418.38,not affected by soda tax
5,184692,201406,339740.6768942784,339740.6768942784,357851.94,not affected by soda tax
6,184692,201407,336661.95931427914,336661.95931427914,306325.94,not affected by soda tax
7,184692,201408,324719.34547427855,324719.34547427855,329164.91,not affected by soda tax
8,184692,201409,323707.34503427893,323707.34503427893,330336.56,not affected by soda tax
9,184692,201410,335584.0924042789,335584.0924042789,367995.03,not affected by soda tax
10,184692,201411,330076.18101427966,330076.18101427966,343093.75,not affected by soda tax
11,184692,201412,329249.08151427866,329249.08151427866,326976.75,not affected by soda tax
12,184692,201413,320949.2169842792,320949.2169842792,299599.25,not affected by soda tax
13,184692,201414,330300.5509442798,330300.5509442798,361032.13,not affected by soda tax
14,184692,201415,335000.29311427905,335000.29311427905,383279.09,not affected by soda tax
15,184692,201416,343082.905534278,343082.905534278,351200.56,not affected by soda tax
16,184692,201417,320534.0851542795,320534.0851542795,317546.22,not affected by soda tax
17,184692,201418,328025.04212427954,328025.04212427954,333011.19,not affected by soda tax
18,184692,201419,335937.5577942792,335937.5577942792,348606.25,not affected by soda tax
19,184692,201420,334180.7948542787,334180.7948542787,338092.78,not affected by soda tax
20,184692,201421,327007.14279427927,327007.14279427927,318192.13,not affected by soda tax
21,184692,201422,335228.4471742795,335228.4471742795,346922.22,not affected by soda tax
22,184692,201423,335625.93552427925,335625.93552427925,379323.63,not affected by soda tax
23,184692,201424,339072.56340427947,339072.56340427947,353560.78,not affected by soda tax
24,184692,201425,329752.19998427905,329752.19998427905,338579.06,not affected by soda tax
25,184692,201426,322421.7058642786,322421.7058642786,306137.72,not affected by soda tax
26,184692,201427,336385.7549142792,336385.7549142792,372751.91,not affected by soda tax
27,184692,201428,344656.2110742786,344656.2110742786,347248.06,not affected by soda tax
28,184692,201429,326457.32125427865,326457.32125427865,329981.03,not affected by soda tax
29,184692,201430,325946.42556427873,325946.42556427873,318305.81,not affected by soda tax
30,184692,201431,330379.4735642794,330379.4735642794,341464.72,not affected by soda tax
31,184692,201432,339163.95477427926,339163.95477427926,384130.22,not affected by soda tax
32,184692,201433,334458.4962642782,334458.4962642782,343035.66,not affected by soda tax
33,184692,201434,341838.12838427944,341838.12838427944,327559.84,not affected by soda tax
34,184692,201435,341995.57421427936,341995.57421427936,312210.09,not affected by soda tax
35,184692,201436,350838.45860427804,350838.45860427804,364335.84,not affected by soda tax
36,184692,201437,336237.99791427975,336237.99791427975,352679.22,not affected by soda tax
37,184692,201438,330053.8011442794,330053.8011442794,319748.28,not affected by soda tax
38,184692,201439,328828.30548427894,328828.30548427894,317673.19,not affected by soda tax
39,184692,201440,334874.5104942788,334874.5104942788,341395.09,not affected by soda tax
40,184692,201441,342205.7440742785,342205.7440742785,364672.69,not affected by soda tax
41,184692,201442,334772.3115342795,334772.3115342795,330088.69,not affected by soda tax
42,184692,201443,333224.08850427857,333224.08850427857,318512.53,not affected by soda tax
43,184692,201444,334918.79335427936,334918.79335427936,309549.78,not affected by soda tax
44,184692,201445,344895.21515427926,344895.21515427926,346497.28,not affected by soda tax
45,184692,201446,334777.97102427983,334777.97102427983,333594.44,not affected by soda tax
46,184692,201447,341281.4164342785,341281.4164342785,349200.06,not affected by soda tax
47,184692,201448,372717.91996427893,372717.91996427893,395655.81,not affected by soda tax
48,184692,201449,353528.00579427835,353528.00579427835,337576.06,not affected by soda tax
49,184692,201450,355468.73865427996,355468.73865427996,335235.03,not affected by soda tax
50,184692,201451,366518.9226042788,366518.9226042788,315719.97,not affected by soda tax
51,184692,201452,383050.4249742789,383050.4249742789,315782.53,not affected by soda tax
52,184692,201501,349312.4954742786,349312.4954742786,356936.59,not affected by soda tax
53,184692,201502,355798.62993427855,355798.62993427855,345898.34,not affected by soda tax
54,184692,201503,335873.0018842788,335873.0018842788,320925.88,not affected by soda tax
55,184692,201504,332406.3789742797,332406.3789742797,325778.81,not affected by soda tax
56,184692,201505,332353.6441142786,332353.6441142786,332066.66,not affected by soda tax
57,184692,201506,344594.0257942785,344594.0257942785,342264.94,not affected by soda tax
58,184692,201507,339758.4597442788,339758.4597442788,313797.19,not affected by soda tax
59,184692,201508,331055.3025742788,331055.3025742788,327094.31,not affected by soda tax
60,184692,201509,329117.9176242787,329117.9176242787,319614.28,not affected by soda tax
61,184692,201510,319411.41940718435,338039.0393490463,337481.5,not affected by soda tax
62,184692,201511,318398.0623771846,337025.68231904646,340354.22,not affected by soda tax
63,184692,201512,317261.3521571843,335888.9720990461,316326.84,not affected by soda tax
64,184692,201513,312609.4459271848,331237.0658690466,316611.41,not affected by soda tax
65,184692,201514,331437.3773971845,350064.9973390463,351408.16,not affected by soda tax
66,184692,201515,317935.65552718414,336563.27546904597,342429.72,not affected by soda tax
67,184692,201516,313813.9604771845,332441.58041904646,331171.38,not affected by soda tax
68,184692,201517,314777.23668718396,333404.8566290458,340132.72,not affected by soda tax
69,184692,201518,316921.0684071841,335548.68834904593,356305.44,not affected by soda tax
70,184692,201519,324274.03789718414,342901.65783904603,339819.97,not affected by soda tax
71,184692,201520,313414.5127071844,332042.13264904637,328754.56,not affected by soda tax
72,184692,201521,310702.3847371843,329330.0046790461,311879.59,not affected by soda tax
73,184692,201522,314794.93898718443,333422.55892904627,324994.0,not affected by soda tax
74,184692,201523,317169.3352171851,335796.9551590469,349821.75,not affected by soda tax
75,184692,201524,324595.0357171843,343222.65565904614,356863.84,not affected by soda tax
76,184692,201525,318097.84507718426,336725.4650190461,340147.78,not affected by soda tax
77,184692,201526,311155.4939971843,329783.11393904616,320930.34,not affected by soda tax
78,184692,201527,322213.1022071843,340840.72214904614,374388.34,not affected by soda tax
79,184692,201528,329731.03633718437,348358.6562790462,355858.09,not affected by soda tax
80,184692,201529,313354.8622971843,331982.4822390462,328144.16,not affected by soda tax
81,184692,201530,313535.7619571844,332163.38189904625,339587.0,not affected by soda tax
82,184692,201531,315340.6814771849,333968.3014190467,334004.28,not affected by soda tax
83,184692,201532,322951.09398718434,341578.7139290462,354788.5,not affected by soda tax
84,184692,201533,323346.8708871844,341974.49082904623,346566.53,not affected by soda tax
85,184692,201534,329986.3830671846,348614.0030090464,329502.69,not affected by soda tax
86,184692,201535,331607.0072771843,350234.6272190461,335592.63,not affected by soda tax
87,184692,201536,329942.57547718426,348570.1954190461,341994.97,not affected by soda tax
88,184692,201537,338668.964647184,357296.58458904584,388342.09,not affected by soda tax
89,184692,201538,319231.13407718437,337858.7540190462,330384.31,not affected by soda tax
90,184692,201539,318269.3757971844,336896.9957390463,327679.28,not affected by soda tax
91,184692,201540,318191.9634571845,336819.5833990463,333001.03,not affected by soda tax
92,184692,201541,325265.1939671844,343892.81390904624,361231.75,not affected by soda tax
93,184692,201542,319645.3407371843,338272.9606790461,329058.19,not affected by soda tax
94,184692,201543,319783.22198718437,338410.8419290462,324315.84,not affected by soda tax
95,184692,201544,329151.2038971841,347778.823839046,326155.09,not affected by soda tax
96,184692,201545,328928.1047771842,347555.72471904603,343151.31,not affected by soda tax
97,184692,201546,324413.3754971843,343040.9954390462,340189.59,not affected by soda tax
98,184692,201547,327280.1578371844,345907.7777790462,349818.91,not affected by soda tax
99,184692,201548,357693.4084271847,376321.02836904663,398195.63,not affected by soda tax
100,184692,201549,341445.86407718447,360073.4840190463,324963.34,not affected by soda tax
101,184692,201550,336516.56146718434,355144.18140904617,334997.19,not affected by soda tax
102,184692,201551,347026.6172471845,365654.2371890464,326310.72,not affected by soda tax
103,184692,201552,363658.32335718436,382285.94329904625,326108.88,not affected by soda tax
104,271817,201401,436145.3005850485,436145.3005850485,485761.13,not affected by soda tax
105,271817,201402,438412.612205056,438412.612205056,526911.5,not affected by soda tax
106,271817,201403,428872.3052750374,428872.3052750374,435803.16,not affected by soda tax
107,271817,201404,427488.38094504783,427488.38094504783,411833.94,not affected by soda tax
108,271817,201405,424807.17222504783,424807.17222504783,415217.13,not affected by soda tax
109,271817,201406,441033.6773750477,441033.6773750477,499667.09,not affected by soda tax
110,271817,201407,437954.95979504834,437954.95979504834,417748.47,not affected by soda tax
111,271817,201408,426012.34595504776,426012.34595504776,424540.31,not affected by soda tax
